archivo,posicion_leaderboard,puntaje,arquetipo,cartas,ids_distintos,energias_basicas,ace_spec,pokemon_mas_repetido,avisos
mazo_001.csv,1,1203.5,Mega Lucario,60,17,13,1,Mega Lucario ex,
mazo_002.csv,2,1189.4,Alakazam,60,22,2,1,Abra,
mazo_003.csv,3,1185.1,Mega Lucario,60,17,13,1,Mega Lucario ex,
mazo_004.csv,4,1169.7,Mega Kangaskhan,60,24,16,1,Teal Mask Ogerpon ex,
mazo_005.csv,5,1166.1,Festival Lead,60,23,17,1,Teal Mask Ogerpon ex,
mazo_006.csv,6,1162.5,Mega Kangaskhan,60,23,4,1,Slowpoke,
mazo_007.csv,7,1136.8,Marnie Grimmsnarl,60,18,10,1,Munkidori,
mazo_008.csv,8,1134.4,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_009.csv,9,1129.5,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_010.csv,10,1127.7,Alakazam,60,20,2,1,Abra,
mazo_011.csv,11,1116.8,Mega Starmie,60,14,14,1,Snorunt,
mazo_012.csv,12,1112.1,Marnie Grimmsnarl,60,18,10,1,Munkidori,
mazo_013.csv,13,1111.6,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_014.csv,14,1109.7,Cynthia Garchomp,60,20,5,1,Cynthia's Roselia,
mazo_015.csv,15,1105.1,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_016.csv,16,1104.0,Dragapult,60,22,10,1,Dreepy,
mazo_017.csv,17,1095.4,Alakazam,60,22,2,1,Abra,
mazo_018.csv,18,1093.9,Marnie Grimmsnarl,60,18,10,1,Munkidori,
mazo_019.csv,19,1089.9,Dragapult,60,22,10,1,Dreepy,
mazo_020.csv,20,1088.1,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_021.csv,21,1083.2,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_022.csv,22,1082.2,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_023.csv,23,1081.9,Festival Lead,60,22,13,1,Teal Mask Ogerpon ex,
mazo_024.csv,24,1078.8,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_025.csv,25,1078.5,Dragapult,60,26,8,1,Dreepy,
mazo_026.csv,26,1075.3,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_027.csv,27,1074.1,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_028.csv,28,1069.0,Crustle Wall,60,20,1,1,Dwebble,
mazo_029.csv,29,1065.2,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_030.csv,30,1061.7,Alakazam,60,22,2,1,Abra,
mazo_031.csv,31,1061.3,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_032.csv,32,1060.5,Festival Lead,60,26,14,1,Teal Mask Ogerpon ex,
mazo_033.csv,33,1058.9,Alakazam,60,22,2,1,Abra,
mazo_034.csv,34,1056.9,Mega Lucario,60,17,13,1,Mega Lucario ex,
mazo_035.csv,35,1056.0,Cynthia Garchomp,60,20,5,1,Cynthia's Roselia,
mazo_036.csv,36,1055.1,Alakazam,60,23,2,1,Abra,
mazo_037.csv,37,1054.9,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_038.csv,38,1054.7,Dragapult,60,23,10,1,Dreepy,
mazo_039.csv,39,1052.1,Alakazam,60,22,2,1,Abra,
mazo_040.csv,40,1051.1,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_041.csv,41,1049.2,Mega Lucario,60,16,11,1,Riolu,
mazo_042.csv,42,1047.2,Alakazam,60,22,2,1,Abra,
mazo_043.csv,43,1046.5,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_044.csv,44,1045.7,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_045.csv,45,1043.9,Crustle Wall,60,21,1,1,Dwebble,
mazo_046.csv,46,1040.8,Alakazam,60,23,2,1,Abra,
mazo_047.csv,47,1040.5,Dragapult,60,25,10,1,Dreepy,
mazo_048.csv,48,1040.5,Ogerpon Verde,60,17,15,1,Teal Mask Ogerpon ex,
mazo_049.csv,49,1040.4,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_050.csv,50,1039.5,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_051.csv,51,1039.4,Festival Lead,60,20,8,1,Grookey,
mazo_052.csv,52,1039.0,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_053.csv,53,1037.9,Alakazam,60,22,2,1,Abra,
mazo_054.csv,54,1037.8,Team Rocket Mewtwo,60,21,10,1,Team Rocket's Tarountula,
mazo_055.csv,55,1037.2,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_056.csv,56,1036.7,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_057.csv,57,1035.4,Alakazam,60,22,2,1,Abra,
mazo_058.csv,58,1035.2,Alakazam,60,22,2,1,Abra,
mazo_059.csv,59,1034.0,Alakazam,60,22,2,1,Abra,
mazo_060.csv,60,1030.4,Alakazam,60,22,2,1,Abra,
mazo_061.csv,61,1029.4,Mega Lopunny,60,18,0,1,Dudunsparce,
mazo_062.csv,62,1028.8,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_063.csv,63,1028.5,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_064.csv,64,1026.1,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_065.csv,65,1025.5,Ogerpon Verde,60,18,18,1,Teal Mask Ogerpon ex,
mazo_066.csv,66,1025.2,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_067.csv,67,1024.4,Mega Lopunny,60,18,0,1,Dudunsparce,
mazo_068.csv,68,1020.4,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_069.csv,69,1019.9,Mega Lucario,60,17,13,1,Mega Lucario ex,
mazo_070.csv,70,1019.6,Crustle Wall,60,19,1,1,Dwebble,
mazo_071.csv,71,1019.0,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_072.csv,72,1018.7,Alakazam,60,22,2,1,Abra,
mazo_073.csv,73,1018.1,Alakazam,60,22,2,1,Abra,
mazo_074.csv,74,1017.5,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_075.csv,75,1016.4,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_076.csv,76,1016.2,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_077.csv,77,1013.7,Festival Lead,60,19,7,1,Grookey,
mazo_078.csv,78,1011.0,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_079.csv,79,1009.6,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_080.csv,80,1009.3,Alakazam,60,22,2,1,Abra,
mazo_081.csv,81,1009.0,Ogerpon Verde,60,24,12,1,Teal Mask Ogerpon ex,
mazo_082.csv,82,1008.1,Alakazam,60,22,2,1,Abra,
mazo_083.csv,83,1008.0,Ogerpon Verde,60,18,18,1,Teal Mask Ogerpon ex,
mazo_084.csv,84,1007.8,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_085.csv,85,1007.6,Alakazam,60,22,2,1,Abra,
mazo_086.csv,86,1007.6,Alakazam,60,22,2,1,Abra,
mazo_087.csv,87,1006.7,Festival Lead,60,21,6,1,Grookey,
mazo_088.csv,88,1004.4,Crustle Wall,60,18,1,1,Dwebble,
mazo_089.csv,89,1002.9,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_090.csv,90,1002.4,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_091.csv,91,1001.9,Dragapult,60,22,10,1,Dreepy,
mazo_092.csv,92,999.2,Ogerpon Verde,60,23,12,1,Teal Mask Ogerpon ex,
mazo_093.csv,93,998.3,Mega Kangaskhan,60,23,11,1,Teal Mask Ogerpon ex,
mazo_094.csv,94,998.3,Alakazam,60,22,2,1,Abra,
mazo_095.csv,95,997.9,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_096.csv,96,997.8,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_097.csv,97,996.1,Marnie Grimmsnarl,60,18,10,1,Munkidori,
mazo_098.csv,98,995.7,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_099.csv,99,994.9,Alakazam,60,22,2,1,Abra,
mazo_100.csv,100,994.1,Ogerpon Verde,60,19,17,1,Teal Mask Ogerpon ex,
mazo_101.csv,101,993.9,Alakazam,60,22,2,1,Abra,
mazo_102.csv,102,992.2,Crustle Wall,60,18,1,1,Mega Kangaskhan ex,
mazo_103.csv,103,991.1,Mega Lucario,60,17,13,1,Mega Lucario ex,
mazo_104.csv,104,990.6,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_105.csv,105,989.5,Crustle Wall,60,24,2,1,Dwebble,
mazo_106.csv,106,988.7,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_107.csv,107,988.2,Marnie Grimmsnarl,60,18,10,1,Munkidori,
mazo_108.csv,108,987.5,Alakazam,60,20,3,1,Dunsparce,
mazo_109.csv,109,987.3,Dragapult,60,22,10,1,Dreepy,
mazo_110.csv,110,987.1,Mega Lucario,60,20,9,1,Riolu,
mazo_111.csv,111,986.5,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_112.csv,112,986.2,Crustle Wall,60,18,1,1,Mega Kangaskhan ex,
mazo_113.csv,113,984.9,Team Rocket Mewtwo,60,22,8,1,Team Rocket's Tarountula,
mazo_114.csv,114,984.3,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_115.csv,115,983.8,Alakazam,60,22,2,1,Abra,
mazo_116.csv,116,982.7,Cynthia Garchomp,60,20,5,1,Cynthia's Roselia,
mazo_117.csv,117,982.1,Crustle Wall,60,24,2,1,Dwebble,
mazo_118.csv,118,981.9,Crustle Wall,60,28,2,1,Mega Kangaskhan ex,
mazo_119.csv,119,981.3,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_120.csv,120,980.9,Alakazam,60,22,2,1,Abra,
mazo_121.csv,121,980.8,Ogerpon Verde,60,18,17,1,Teal Mask Ogerpon ex,
mazo_122.csv,122,980.6,Great Tusk / Crustle,60,22,6,1,Great Tusk,
mazo_123.csv,123,979.9,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_124.csv,124,978.9,Crustle Wall,60,22,0,1,Dwebble,
mazo_125.csv,125,978.8,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_126.csv,126,978.3,Crustle Wall,60,18,1,1,Dwebble,
mazo_127.csv,127,977.5,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_128.csv,128,977.2,Alakazam,60,22,2,1,Abra,
mazo_129.csv,129,976.0,Festival Lead,60,28,3,1,Grookey,
mazo_130.csv,130,975.9,Alakazam,60,22,2,1,Abra,
mazo_131.csv,131,974.8,Ogerpon Verde,60,23,12,1,Teal Mask Ogerpon ex,
mazo_132.csv,132,974.1,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_133.csv,133,973.7,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_134.csv,134,973.6,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_135.csv,135,973.1,Crustle Wall,60,24,2,1,Dwebble,
mazo_136.csv,136,972.7,Cynthia Garchomp,60,20,5,1,Cynthia's Roselia,
mazo_137.csv,137,972.5,Cynthia Garchomp,60,20,5,1,Cynthia's Roselia,
mazo_138.csv,138,972.3,Crustle Wall,60,18,1,1,Mega Kangaskhan ex,
mazo_139.csv,139,971.6,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_140.csv,140,971.6,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_141.csv,141,971.4,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_142.csv,142,971.0,Crustle Wall,60,27,1,1,Mega Kangaskhan ex,
mazo_143.csv,143,970.7,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_144.csv,144,970.3,Alakazam,60,22,2,1,Abra,
mazo_145.csv,145,970.2,Crustle Wall,60,18,1,1,Dwebble,
mazo_146.csv,146,969.6,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_147.csv,147,969.4,Alakazam,60,22,2,1,Abra,
mazo_148.csv,148,968.7,Alakazam,60,22,2,1,Abra,
mazo_149.csv,149,968.2,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_150.csv,150,968.1,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_151.csv,151,967.8,Marnie Grimmsnarl,60,19,10,1,Munkidori,
