arquetipo,mazos,porcentaje,mejor_puesto,puntaje_max
Marnie Grimmsnarl,115,38.33,1,1164.5
Alakazam,56,18.67,9,1118.5
Crustle Wall,32,10.67,26,1076.4
Ogerpon Verde,23,7.67,27,1076.2
Festival Lead,12,4.00,13,1097.3
Mega Lopunny,10,3.33,16,1089.2
Mega Lopunny / Mega Froslass,9,3.00,2,1158.9
Dragapult,8,2.67,21,1087.0
Mega Kangaskhan,7,2.33,4,1138.6
Mega Lucario,7,2.33,7,1125.9
Cynthia Garchomp,7,2.33,104,1006.1
Team Rocket Mewtwo,6,2.00,99,1008.3
Mega Starmie,3,1.00,245,933.7
Otro / N’s Zoroark ex,2,0.67,119,998.9
Archaludon,1,0.33,252,932.1
Otro / Bramblin,1,0.33,272,924.1
Chandelure,1,0.33,282,920.1
