representante,arquetipo,copias,porcentaje,mejor_puesto
mazo_003.csv,Marnie Grimmsnarl,100,33.33,3
mazo_009.csv,Alakazam,45,15.00,9
mazo_027.csv,Ogerpon Verde,10,3.33,27
mazo_002.csv,Mega Lopunny / Mega Froslass,9,3.00,2
mazo_010.csv,Marnie Grimmsnarl,6,2.00,10
mazo_043.csv,Crustle Wall,6,2.00,43
mazo_016.csv,Mega Lopunny,5,1.67,16
mazo_104.csv,Cynthia Garchomp,5,1.67,104
mazo_026.csv,Crustle Wall,4,1.33,26
mazo_038.csv,Ogerpon Verde,4,1.33,38
mazo_066.csv,Crustle Wall,4,1.33,66
mazo_071.csv,Festival Lead,4,1.33,71
mazo_007.csv,Mega Lucario,3,1.00,7
mazo_056.csv,Dragapult,3,1.00,56
mazo_059.csv,Crustle Wall,3,1.00,59
mazo_088.csv,Mega Lopunny,3,1.00,88
mazo_014.csv,Mega Kangaskhan,2,0.67,14
mazo_049.csv,Alakazam,2,0.67,49
mazo_067.csv,Crustle Wall,2,0.67,67
mazo_189.csv,Alakazam,2,0.67,189
mazo_001.csv,Marnie Grimmsnarl,1,0.33,1
mazo_004.csv,Mega Kangaskhan,1,0.33,4
mazo_012.csv,Alakazam,1,0.33,12
mazo_013.csv,Festival Lead,1,0.33,13
mazo_017.csv,Mega Lopunny,1,0.33,17
mazo_020.csv,Alakazam,1,0.33,20
mazo_021.csv,Dragapult,1,0.33,21
mazo_024.csv,Dragapult,1,0.33,24
mazo_035.csv,Festival Lead,1,0.33,35
mazo_052.csv,Dragapult,1,0.33,52
mazo_053.csv,Crustle Wall,1,0.33,53
mazo_055.csv,Crustle Wall,1,0.33,55
mazo_068.csv,Dragapult,1,0.33,68
mazo_072.csv,Dragapult,1,0.33,72
mazo_074.csv,Ogerpon Verde,1,0.33,74
mazo_075.csv,Festival Lead,1,0.33,75
mazo_077.csv,Mega Lopunny,1,0.33,77
mazo_078.csv,Ogerpon Verde,1,0.33,78
mazo_079.csv,Festival Lead,1,0.33,79
mazo_083.csv,Ogerpon Verde,1,0.33,83
mazo_099.csv,Team Rocket Mewtwo,1,0.33,99
mazo_105.csv,Ogerpon Verde,1,0.33,105
mazo_106.csv,Crustle Wall,1,0.33,106
mazo_108.csv,Ogerpon Verde,1,0.33,108
mazo_114.csv,Alakazam,1,0.33,114
mazo_115.csv,Mega Kangaskhan,1,0.33,115
mazo_117.csv,Crustle Wall,1,0.33,117
mazo_119.csv,Otro / N’s Zoroark ex,1,0.33,119
mazo_121.csv,Crustle Wall,1,0.33,121
mazo_123.csv,Alakazam,1,0.33,123
mazo_125.csv,Alakazam,1,0.33,125
mazo_126.csv,Festival Lead,1,0.33,126
mazo_131.csv,Ogerpon Verde,1,0.33,131
mazo_133.csv,Marnie Grimmsnarl,1,0.33,133
mazo_135.csv,Crustle Wall,1,0.33,135
mazo_140.csv,Mega Lucario,1,0.33,140
mazo_142.csv,Ogerpon Verde,1,0.33,142
mazo_144.csv,Crustle Wall,1,0.33,144
mazo_157.csv,Cynthia Garchomp,1,0.33,157
mazo_165.csv,Crustle Wall,1,0.33,165
mazo_166.csv,Mega Lucario,1,0.33,166
mazo_169.csv,Marnie Grimmsnarl,1,0.33,169
mazo_176.csv,Mega Lucario,1,0.33,176
mazo_180.csv,Marnie Grimmsnarl,1,0.33,180
mazo_181.csv,Mega Kangaskhan,1,0.33,181
mazo_184.csv,Ogerpon Verde,1,0.33,184
mazo_188.csv,Team Rocket Mewtwo,1,0.33,188
mazo_192.csv,Team Rocket Mewtwo,1,0.33,192
mazo_211.csv,Festival Lead,1,0.33,211
mazo_225.csv,Team Rocket Mewtwo,1,0.33,225
mazo_227.csv,Crustle Wall,1,0.33,227
mazo_229.csv,Team Rocket Mewtwo,1,0.33,229
mazo_231.csv,Ogerpon Verde,1,0.33,231
mazo_234.csv,Team Rocket Mewtwo,1,0.33,234
mazo_235.csv,Mega Kangaskhan,1,0.33,235
mazo_239.csv,Otro / N’s Zoroark ex,1,0.33,239
mazo_245.csv,Mega Starmie,1,0.33,245
mazo_247.csv,Alakazam,1,0.33,247
mazo_251.csv,Mega Starmie,1,0.33,251
mazo_252.csv,Archaludon,1,0.33,252
mazo_256.csv,Crustle Wall,1,0.33,256
mazo_257.csv,Mega Starmie,1,0.33,257
mazo_258.csv,Festival Lead,1,0.33,258
mazo_259.csv,Crustle Wall,1,0.33,259
mazo_263.csv,Marnie Grimmsnarl,1,0.33,263
mazo_267.csv,Marnie Grimmsnarl,1,0.33,267
mazo_269.csv,Cynthia Garchomp,1,0.33,269
mazo_270.csv,Alakazam,1,0.33,270
mazo_271.csv,Festival Lead,1,0.33,271
mazo_272.csv,Otro / Bramblin,1,0.33,272
mazo_274.csv,Marnie Grimmsnarl,1,0.33,274
mazo_275.csv,Crustle Wall,1,0.33,275
mazo_278.csv,Mega Kangaskhan,1,0.33,278
mazo_279.csv,Marnie Grimmsnarl,1,0.33,279
mazo_282.csv,Chandelure,1,0.33,282
mazo_283.csv,Mega Lucario,1,0.33,283
mazo_290.csv,Marnie Grimmsnarl,1,0.33,290
mazo_297.csv,Crustle Wall,1,0.33,297
