archivo,arquetipo,peso_meta,mazos_origen,estado,solape_propio,wr_criba,forfeits,limites,motivo
marnie_grimmsnarl_1.csv,Marnie Grimmsnarl,0.3333,100,admitido,11,0.6,0.0,0.0,
alakazam_1.csv,Alakazam,0.15,45,admitido,9,0.433,0.0,0.0,
ogerpon_verde_1.csv,Ogerpon Verde,0.0333,10,admitido,27,0.783,0.0,0.0,
mega_lopunny_mega_froslass_1.csv,Mega Lopunny / Mega Froslass,0.03,9,admitido,11,0.517,0.0,0.0,
crustle_wall_1.csv,Crustle Wall,0.02,6,admitido,11,0.833,0.0,0.0,
marnie_grimmsnarl_2.csv,Marnie Grimmsnarl,0.02,6,admitido,11,0.5,0.0,0.0,
cynthia_garchomp_1.csv,Cynthia Garchomp,0.0167,5,admitido,13,0.35,0.0,0.0,
mega_lopunny_1.csv,Mega Lopunny,0.0167,5,admitido,12,0.417,0.0,0.0,
crustle_wall_2.csv,Crustle Wall,0.0133,4,admitido,9,0.733,0.0,0.0,
crustle_wall_3.csv,Crustle Wall,0.0133,4,admitido,9,0.75,0.0,0.0,
festival_lead_1.csv,Festival Lead,0.0133,4,admitido,26,0.4,0.0,0.0,
ogerpon_verde_2.csv,Ogerpon Verde,0.0133,4,admitido,27,0.8,0.0,0.0,
crustle_wall_4.csv,Crustle Wall,0.01,3,admitido,9,0.833,0.0,0.0,
dragapult_1.csv,Dragapult,0.01,3,admitido,17,0.3,0.0,0.0,
mega_lopunny_2.csv,Mega Lopunny,0.01,3,admitido,11,0.517,0.0,0.0,
mega_lucario_1.csv,Mega Lucario,0.01,3,admitido,11,0.567,0.0,0.0,
alakazam_2.csv,Alakazam,0.0067,2,admitido,9,0.5,0.0,0.0,
alakazam_3.csv,Alakazam,0.0067,2,admitido,9,0.517,0.0,0.0,
crustle_wall_5.csv,Crustle Wall,0.0067,2,admitido,9,0.783,0.0,0.0,
mega_kangaskhan_1.csv,Mega Kangaskhan,0.0067,2,admitido,13,0.25,0.0,0.0,
alakazam_4.csv,Alakazam,0.0033,1,admitido,7,0.517,0.0,0.0,
alakazam_5.csv,Alakazam,0.0033,1,admitido,8,0.417,0.0,0.0,
alakazam_6.csv,Alakazam,0.0033,1,admitido,8,0.55,0.0,0.0,
alakazam_7.csv,Alakazam,0.0033,1,admitido,9,0.5,0.0,0.0,
alakazam_8.csv,Alakazam,0.0033,1,admitido,9,0.533,0.0,0.0,
alakazam_9.csv,Alakazam,0.0033,1,admitido,9,0.433,0.0,0.0,
alakazam_10.csv,Alakazam,0.0033,1,admitido,9,0.45,0.0,0.0,
archaludon_1.csv,Archaludon,0.0033,1,admitido,15,0.7,0.0,0.0,
chandelure_1.csv,Chandelure,0.0033,1,admitido,11,0.2,0.0,0.0,
crustle_wall_6.csv,Crustle Wall,0.0033,1,admitido,22,0.967,0.0,0.0,
crustle_wall_7.csv,Crustle Wall,0.0033,1,admitido,11,0.85,0.0,0.0,
crustle_wall_8.csv,Crustle Wall,0.0033,1,admitido,10,0.817,0.0,0.0,
crustle_wall_9.csv,Crustle Wall,0.0033,1,admitido,10,0.75,0.0,0.0,
crustle_wall_10.csv,Crustle Wall,0.0033,1,admitido,9,0.783,0.0,0.0,
crustle_wall_11.csv,Crustle Wall,0.0033,1,admitido,12,0.783,0.0,0.0,
crustle_wall_12.csv,Crustle Wall,0.0033,1,admitido,9,0.783,0.0,0.0,
crustle_wall_13.csv,Crustle Wall,0.0033,1,admitido,9,0.717,0.0,0.0,
crustle_wall_14.csv,Crustle Wall,0.0033,1,admitido,9,0.667,0.0,0.0,
crustle_wall_15.csv,Crustle Wall,0.0033,1,admitido,9,0.767,0.0,0.0,
crustle_wall_16.csv,Crustle Wall,0.0033,1,admitido,9,0.767,0.0,0.0,
crustle_wall_17.csv,Crustle Wall,0.0033,1,admitido,11,0.717,0.0,0.0,
crustle_wall_18.csv,Crustle Wall,0.0033,1,admitido,8,0.7,0.0,0.0,
cynthia_garchomp_2.csv,Cynthia Garchomp,0.0033,1,admitido,8,0.45,0.0,0.0,
