archivo,arquetipo,peso_meta,mazos_origen,estado,solape_propio,wr_criba,forfeits,limites,motivo
marnie_grimmsnarl_1.csv,Marnie Grimmsnarl,0.324,162,admitido,11,0.625,0.0,0.0,
alakazam_1.csv,Alakazam,0.138,69,admitido,9,0.6,0.0,0.0,
mega_lopunny_mega_froslass_1.csv,Mega Lopunny / Mega Froslass,0.068,34,admitido,11,0.575,0.0,0.0,
dragapult_1.csv,Dragapult,0.034,17,admitido,17,0.3,0.0,0.0,
marnie_grimmsnarl_2.csv,Marnie Grimmsnarl,0.022,11,admitido,11,0.5,0.0,0.0,
mega_lucario_1.csv,Mega Lucario,0.02,10,admitido,11,0.55,0.0,0.0,
ogerpon_verde_1.csv,Ogerpon Verde,0.02,10,admitido,27,0.825,0.0,0.0,
crustle_wall_1.csv,Crustle Wall,0.018,9,admitido,9,0.625,0.0,0.0,
ogerpon_verde_2.csv,Ogerpon Verde,0.018,9,admitido,27,0.75,0.0,0.0,
crustle_wall_2.csv,Crustle Wall,0.01,5,admitido,9,0.8,0.0,0.0,
cynthia_garchomp_1.csv,Cynthia Garchomp,0.01,5,admitido,13,0.425,0.0,0.0,
alakazam_2.csv,Alakazam,0.008,4,admitido,9,0.475,0.0,0.0,
alakazam_3.csv,Alakazam,0.008,4,admitido,9,0.4,0.0,0.0,
crustle_wall_3.csv,Crustle Wall,0.008,4,admitido,11,0.85,0.0,0.0,
crustle_wall_4.csv,Crustle Wall,0.008,4,admitido,9,0.825,0.0,0.0,
festival_lead_1.csv,Festival Lead,0.008,4,admitido,56,0.575,0.0,0.0,
festival_lead_2.csv,Festival Lead,0.008,4,admitido,26,0.175,0.0,0.0,
alakazam_4.csv,Alakazam,0.006,3,admitido,7,0.425,0.0,0.0,
festival_lead_3.csv,Festival Lead,0.006,3,admitido,53,0.525,0.0,0.0,
mega_lucario_2.csv,Mega Lucario,0.006,3,admitido,7,0.575,0.0,0.0,
ogerpon_verde_3.csv,Ogerpon Verde,0.006,3,admitido,28,0.85,0.0,0.0,
alakazam_5.csv,Alakazam,0.004,2,admitido,9,0.45,0.0,0.0,
alakazam_6.csv,Alakazam,0.004,2,admitido,9,0.45,0.0,0.0,
crustle_wall_5.csv,Crustle Wall,0.004,2,admitido,9,0.825,0.0,0.0,
dragapult_2.csv,Dragapult,0.004,2,admitido,16,0.3,0.0,0.0,
festival_lead_4.csv,Festival Lead,0.004,2,admitido,58,0.55,0.0,0.0,
festival_lead_5.csv,Festival Lead,0.004,2,admitido,60,0.6,0.0,0.0,
marnie_grimmsnarl_3.csv,Marnie Grimmsnarl,0.004,2,admitido,10,0.625,0.0,0.0,
mega_lopunny_1.csv,Mega Lopunny,0.004,2,admitido,12,0.35,0.0,0.0,
ogerpon_verde_4.csv,Ogerpon Verde,0.004,2,admitido,31,0.45,0.0,0.0,
alakazam_7.csv,Alakazam,0.002,1,admitido,9,0.4,0.0,0.0,
alakazam_8.csv,Alakazam,0.002,1,admitido,10,0.425,0.0,0.0,
alakazam_9.csv,Alakazam,0.002,1,admitido,8,0.475,0.0,0.0,
alakazam_10.csv,Alakazam,0.002,1,admitido,9,0.575,0.0,0.0,
alakazam_11.csv,Alakazam,0.002,1,admitido,9,0.35,0.0,0.0,
archaludon_1.csv,Archaludon,0.002,1,admitido,15,0.525,0.0,0.0,
chandelure_1.csv,Chandelure,0.002,1,admitido,9,0.2,0.0,0.0,
chandelure_2.csv,Chandelure,0.002,1,admitido,9,0.325,0.0,0.0,
chandelure_3.csv,Chandelure,0.002,1,admitido,7,0.325,0.0,0.0,
crustle_wall_6.csv,Crustle Wall,0.002,1,admitido,27,0.775,0.0,0.0,
crustle_wall_7.csv,Crustle Wall,0.002,1,admitido,19,0.9,0.0,0.0,
crustle_wall_8.csv,Crustle Wall,0.002,1,admitido,12,0.825,0.0,0.0,
crustle_wall_9.csv,Crustle Wall,0.002,1,admitido,10,0.875,0.0,0.0,
crustle_wall_10.csv,Crustle Wall,0.002,1,admitido,10,0.85,0.0,0.0,
crustle_wall_11.csv,Crustle Wall,0.002,1,admitido,10,0.775,0.0,0.0,
crustle_wall_12.csv,Crustle Wall,0.002,1,admitido,10,0.825,0.0,0.0,
crustle_wall_13.csv,Crustle Wall,0.002,1,admitido,9,0.825,0.0,0.0,
crustle_wall_14.csv,Crustle Wall,0.002,1,admitido,9,0.875,0.0,0.0,
crustle_wall_15.csv,Crustle Wall,0.002,1,admitido,8,0.8,0.0,0.0,
crustle_wall_16.csv,Crustle Wall,0.002,1,admitido,9,0.825,0.0,0.0,
crustle_wall_17.csv,Crustle Wall,0.002,1,admitido,9,0.775,0.0,0.0,
crustle_wall_18.csv,Crustle Wall,0.002,1,admitido,9,0.7,0.0,0.0,
crustle_wall_19.csv,Crustle Wall,0.002,1,admitido,9,0.75,0.0,0.0,
crustle_wall_20.csv,Crustle Wall,0.002,1,admitido,8,0.8,0.0,0.0,
crustle_wall_21.csv,Crustle Wall,0.002,1,admitido,9,0.75,0.0,0.0,
crustle_wall_22.csv,Crustle Wall,0.002,1,admitido,9,0.775,0.0,0.0,
cynthia_garchomp_2.csv,Cynthia Garchomp,0.002,1,admitido,9,0.4,0.0,0.0,
cynthia_garchomp_3.csv,Cynthia Garchomp,0.002,1,admitido,11,0.425,0.0,0.0,
cynthia_garchomp_4.csv,Cynthia Garchomp,0.002,1,admitido,12,0.325,0.0,0.0,
cynthia_garchomp_5.csv,Cynthia Garchomp,0.002,1,admitido,10,0.45,0.0,0.0,
dragapult_3.csv,Dragapult,0.002,1,admitido,18,0.25,0.0,0.0,
dragapult_4.csv,Dragapult,0.002,1,admitido,17,0.3,0.0,0.0,
dragapult_5.csv,Dragapult,0.002,1,admitido,16,0.375,0.0,0.0,
dragapult_6.csv,Dragapult,0.002,1,admitido,18,0.3,0.0,0.0,
dragapult_7.csv,Dragapult,0.002,1,admitido,17,0.35,0.0,0.0,
dragapult_8.csv,Dragapult,0.002,1,admitido,16,0.375,0.0,0.0,
dragapult_9.csv,Dragapult,0.002,1,admitido,16,0.275,0.0,0.0,
dragapult_10.csv,Dragapult,0.002,1,admitido,17,0.375,0.0,0.0,
dragapult_11.csv,Dragapult,0.002,1,admitido,16,0.35,0.0,0.0,
dragapult_12.csv,Dragapult,0.002,1,admitido,15,0.15,0.0,0.0,
