archivo,arquetipo,peso_meta,mazos_origen
alakazam_1.csv,alakazam,0.095021,69
alakazam_10.csv,alakazam,0.001377,1
alakazam_11.csv,alakazam,0.001377,1
alakazam_2.csv,alakazam,0.006927,4
alakazam_3.csv,alakazam,0.013855,4
alakazam_4.csv,alakazam,0.004131,3
alakazam_5.csv,alakazam,0.002754,2
alakazam_6.csv,alakazam,0.002754,2
alakazam_7.csv,alakazam,0.006927,1
alakazam_8.csv,alakazam,0.001377,1
alakazam_9.csv,alakazam,0.006927,1
archaludon_1.csv,archaludon,0.001377,1
chandelure_1.csv,chandelure,0.001377,1
chandelure_2.csv,chandelure,0.001377,1
chandelure_3.csv,chandelure,0.001377,1
crustle_wall_1.csv,crustle wall,0.012394,9
crustle_wall_10.csv,crustle wall,0.001377,1
crustle_wall_11.csv,crustle wall,0.001377,1
crustle_wall_12.csv,crustle wall,0.001377,1
crustle_wall_13.csv,crustle wall,0.001377,1
crustle_wall_14.csv,crustle wall,0.001377,1
crustle_wall_15.csv,crustle wall,0.001377,1
crustle_wall_16.csv,crustle wall,0.001377,1
crustle_wall_17.csv,crustle wall,0.001377,1
crustle_wall_18.csv,crustle wall,0.001377,1
crustle_wall_19.csv,crustle wall,0.001377,1
crustle_wall_2.csv,crustle wall,0.006886,5
crustle_wall_20.csv,crustle wall,0.001377,1
crustle_wall_21.csv,crustle wall,0.001377,1
crustle_wall_22.csv,crustle wall,0.001377,1
crustle_wall_3.csv,crustle wall,0.005508,4
crustle_wall_4.csv,crustle wall,0.005508,4
crustle_wall_5.csv,crustle wall,0.006927,2
crustle_wall_6.csv,crustle wall,0.001377,1
crustle_wall_7.csv,crustle wall,0.001377,1
crustle_wall_8.csv,crustle wall,0.001377,1
crustle_wall_9.csv,crustle wall,0.001377,1
cynthia_garchomp_1.csv,cynthia garchomp,0.006886,5
cynthia_garchomp_2.csv,cynthia garchomp,0.001377,1
cynthia_garchomp_3.csv,cynthia garchomp,0.001377,1
cynthia_garchomp_4.csv,cynthia garchomp,0.001377,1
cynthia_garchomp_5.csv,cynthia garchomp,0.001377,1
dragapult_1.csv,dragapult,0.069273,17
dragapult_10.csv,dragapult,0.001377,1
dragapult_11.csv,dragapult,0.001377,1
dragapult_12.csv,dragapult,0.001377,1
dragapult_13.csv,dragapult,0.001377,1
dragapult_14.csv,dragapult,0.001377,1
dragapult_15.csv,dragapult,0.006927,1
dragapult_2.csv,dragapult,0.006927,2
dragapult_3.csv,dragapult,0.001377,1
dragapult_4.csv,dragapult,0.001377,1
dragapult_5.csv,dragapult,0.001377,1
dragapult_6.csv,dragapult,0.001377,1
