archivo,arquetipo,peso_meta,mazos_origen,estado,wr_criba,forfeits,limites,motivo
marnie_grimmsnarl_1.csv,Marnie Grimmsnarl,0.41,41,admitido,0.583,0.0,0.0,
alakazam_1.csv,Alakazam,0.06,6,admitido,0.483,0.0,0.0,
cynthia_garchomp_1.csv,Cynthia Garchomp,0.05,5,admitido,0.45,0.0,0.0,
marnie_grimmsnarl_2.csv,Marnie Grimmsnarl,0.04,4,admitido,0.55,0.0,0.0,
ogerpon_verde_1.csv,Ogerpon Verde,0.04,4,admitido,0.833,0.0,0.0,
festival_lead_1.csv,Festival Lead,0.03,3,admitido,0.467,0.0,0.0,
crustle_wall_1.csv,Crustle Wall,0.02,2,admitido,0.767,0.0,0.0,
crustle_wall_2.csv,Crustle Wall,0.02,2,admitido,0.883,0.0,0.0,
dragapult_1.csv,Dragapult,0.02,2,admitido,0.317,0.0,0.0,
ogerpon_verde_2.csv,Ogerpon Verde,0.02,2,admitido,0.767,0.0,0.0,
alakazam_2.csv,Alakazam,0.01,1,admitido,0.583,0.0,0.0,
alakazam_3.csv,Alakazam,0.01,1,admitido,0.45,0.0,0.0,
alakazam_4.csv,Alakazam,0.01,1,admitido,0.417,0.0,0.0,
crustle_wall_3.csv,Crustle Wall,0.01,1,admitido,0.65,0.0,0.0,
crustle_wall_4.csv,Crustle Wall,0.01,1,admitido,0.75,0.0,0.0,
crustle_wall_5.csv,Crustle Wall,0.01,1,admitido,0.8,0.0,0.0,
crustle_wall_6.csv,Crustle Wall,0.01,1,admitido,0.75,0.0,0.0,
crustle_wall_7.csv,Crustle Wall,0.01,1,admitido,0.717,0.0,0.0,
crustle_wall_8.csv,Crustle Wall,0.01,1,admitido,0.75,0.0,0.0,
cynthia_garchomp_2.csv,Cynthia Garchomp,0.01,1,admitido,0.383,0.0,0.0,
dragapult_2.csv,Dragapult,0.01,1,admitido,0.167,0.0,0.0,
dragapult_3.csv,Dragapult,0.01,1,admitido,0.35,0.0,0.0,
dragapult_4.csv,Dragapult,0.01,1,admitido,0.417,0.0,0.0,
festival_lead_2.csv,Festival Lead,0.01,1,admitido,0.417,0.0,0.0,
festival_lead_3.csv,Festival Lead,0.01,1,admitido,0.4,0.0,0.0,
festival_lead_4.csv,Festival Lead,0.01,1,admitido,0.333,0.0,0.0,
marnie_grimmsnarl_3.csv,Marnie Grimmsnarl,0.01,1,admitido,0.483,0.0,0.0,
marnie_grimmsnarl_4.csv,Marnie Grimmsnarl,0.01,1,admitido,0.4,0.0,0.0,
marnie_grimmsnarl_5.csv,Marnie Grimmsnarl,0.01,1,admitido,0.567,0.0,0.0,
marnie_grimmsnarl_6.csv,Marnie Grimmsnarl,0.01,1,admitido,0.483,0.0,0.0,
mega_kangaskhan_1.csv,Mega Kangaskhan,0.01,1,admitido,0.4,0.0,0.0,
mega_kangaskhan_2.csv,Mega Kangaskhan,0.01,1,admitido,0.367,0.0,0.0,
mega_kangaskhan_3.csv,Mega Kangaskhan,0.01,1,admitido,0.267,0.0,0.0,
mega_lopunny_1.csv,Mega Lopunny,0.01,1,admitido,0.467,0.0,0.0,
mega_lopunny_2.csv,Mega Lopunny,0.01,1,admitido,0.55,0.0,0.0,
mega_lopunny_3.csv,Mega Lopunny,0.01,1,admitido,0.5,0.0,0.0,
mega_lopunny_mega_froslass_1.csv,Mega Lopunny / Mega Froslass,0.01,1,admitido,0.45,0.0,0.0,
mega_lucario_1.csv,Mega Lucario,0.01,1,admitido,0.55,0.0,0.0,
mega_starmie_1.csv,Mega Starmie,0.01,1,admitido,0.767,0.0,0.0,
