archivo,posicion_leaderboard,puntaje,arquetipo,cartas,ids_distintos,energias_basicas,ace_spec,pokemon_mas_repetido,avisos
mazo_001.csv,1,1248.9,Mega Lucario,60,17,13,1,Mega Lucario ex,
mazo_002.csv,2,1185.4,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_003.csv,3,1167.1,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
mazo_004.csv,4,1159.0,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_005.csv,5,1158.1,Mega Lopunny,60,18,0,1,Dudunsparce,
mazo_006.csv,6,1153.2,Alakazam,60,22,2,1,Abra,
mazo_007.csv,7,1132.0,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_008.csv,8,1122.6,Ogerpon Verde,60,18,17,1,Teal Mask Ogerpon ex,
mazo_009.csv,9,1118.6,Crustle Wall,60,24,2,1,Dwebble,
mazo_010.csv,10,1112.8,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_011.csv,11,1109.6,Dragapult,60,29,8,1,Dreepy,
mazo_012.csv,12,1108.5,Alakazam,60,22,2,1,Abra,
mazo_013.csv,13,1107.4,Cynthia Garchomp,60,20,5,1,Cynthia's Roselia,
mazo_014.csv,14,1106.2,Crustle Wall,60,22,0,1,Dwebble,
mazo_015.csv,15,1105.4,Festival Lead,60,19,7,1,Grookey,
mazo_016.csv,16,1104.2,Mega Lopunny,60,21,3,1,Dunsparce,
mazo_017.csv,17,1101.6,Crustle Wall,60,19,1,1,Dwebble,
mazo_018.csv,18,1100.2,Mega Lopunny,60,17,0,1,Dudunsparce,
mazo_019.csv,19,1099.4,Mega Kangaskhan,60,24,16,1,Teal Mask Ogerpon ex,
mazo_020.csv,20,1093.2,Marnie Grimmsnarl,60,20,10,1,Munkidori,
mazo_021.csv,21,1089.0,Ogerpon Verde,60,18,18,1,Teal Mask Ogerpon ex,
mazo_022.csv,22,1088.5,Marnie Grimmsnarl,60,19,10,1,Munkidori,
mazo_023.csv,23,1085.7,Mega Lopunny / Mega Froslass,60,21,3,1,Dunsparce,
