# Phase 15 -- the `_FixedRule` / `_Adjustment` labels. 260 of them, 471 uses.
#
# These were kept in Spanish through the whole rename on purpose: they are the
# strings the PTCG_DEBUG trace prints and the write-ups quote. The project is
# read by English speakers now, so they move too -- and the mentions in the
# tests and docs move with them, which is the part that would otherwise rot.
#
# Left as they are because they already read as English: anti_ex, anti_muro,
# base, rush, tier_ko, win_via_bench, dodge_redirect, bonus_matchup,
# engine_pivot_turn, boss_deny_evo, xerosic_alakazam, xerosic_generico, fb_*.
acelerador_syrup	syrup_accelerator
activo_necesita_energia	active_needs_energy
aggro_y_perdiendo	aggro_and_losing
alakazam_capar_mano	alakazam_cap_the_hand
alakazam_cede_a_gusteo_ganador	alakazam_yields_to_winning_gust
alakazam_cede_a_lillie_mano_corta	alakazam_yields_to_lillie_short_hand
alakazam_cede_a_lillie_mano_rival_minima	alakazam_yields_to_lillie_tiny_opponent_hand
alakazam_prioridad_sobre_boss	alakazam_priority_over_boss
alakazam_reserva_supporter_para_xerosic	alakazam_reserves_supporter_for_xerosic
alakazam_stamp_dos_ex_listos	alakazam_stamp_two_ex_ready
amenaza_activa_domina	active_threat_dominates
anti_ex_con_meganium	anti_ex_with_meganium
anti_muro_con_meganium	anti_wall_with_meganium
anti_muro_con_meganium_e_hydra	anti_wall_with_meganium_and_hydra
anti_muro	anti_wall
anular_neutralization_zone	cancel_neutralization_zone
apagar_festival_lead	switch_off_festival_lead
applin_en_campo	applin_on_field
applin_en_mano_con_forest	applin_in_hand_with_forest
applin_en_mano	applin_in_hand
applin_evolucionable_full_linea	applin_evolvable_full_line
applin_evolucionable	applin_evolvable
arrancar_linea_hydra	start_the_hydra_line
arrancar_linea_meganium	start_the_meganium_line
asegurar_applin	secure_applin
asegurar_chikorita	secure_chikorita
atasco_sin_energia	stuck_without_energy
atasco_sin_lillie_en_mano	stuck_without_lillie_in_hand
banca_corta	short_bench
banca_llena_guardar	full_bench_keep_it
banca_llena	full_bench
bayleef_evolucionable	bayleef_evolvable
bayleef_ya_en_campo	bayleef_already_on_field
bayleef_ya_en_mano	bayleef_already_in_hand
bloqueo_de_items_manana	item_lock_tomorrow
boss_ganador	winning_boss
cadena_applin_dipplin_mano	applin_dipplin_chain_in_hand
cadena_chikorita_bayleef_mano	chikorita_bayleef_chain_in_hand
